【资金费率 / 流动性风险】
run_id=855 | 更新时间北京时间=2026-07-30 09:00:31 | UTC=2026-07-30 01:23:17

SUI | funding=+0.00% 风险=低 | 24h成交额=$4.11M 流动性风险=高 | OI=$21.31M
VVV | funding=+0.00% 风险=低 | 24h成交额=$2.91M 流动性风险=高 | OI=$15.98M
ZRO | funding=+0.00% 风险=低 | 24h成交额=$2.13M 流动性风险=高 | OI=$27.48M
AIXBT | funding=+0.00% 风险=低 | 24h成交额=$1.72M 流动性风险=高 | OI=$454.67K
XLM | funding=-0.00% 风险=低 | 24h成交额=$1.33M 流动性风险=高 | OI=$6.61M
LINK | funding=+0.00% 风险=低 | 24h成交额=$3.87M 流动性风险=高 | OI=$38.03M
CASHCAT | funding=+0.00% 风险=低 | 24h成交额=$18.50M 流动性风险=中 | OI=$8.23M
ZEC | funding=-0.00% 风险=低 | 24h成交额=$75.48M 流动性风险=低 | OI=$186.80M
AAVE | funding=-0.00% 风险=低 | 24h成交额=$21.73M 流动性风险=低 | OI=$73.16M
WLD | funding=-0.00% 风险=低 | 24h成交额=$13.17M 流动性风险=中 | OI=$22.23M
ETH | funding=+0.00% 风险=低 | 24h成交额=$1.04B 流动性风险=低 | OI=$1.81B
HYPE | funding=+0.00% 风险=低 | 24h成交额=$286.75M 流动性风险=低 | OI=$1.21B
BTC | funding=+0.00% 风险=低 | 24h成交额=$2.39B 流动性风险=低 | OI=$2.12B
LIT | funding=+0.00% 风险=低 | 24h成交额=$25.83M 流动性风险=低 | OI=$83.82M
XRP | funding=+0.00% 风险=低 | 24h成交额=$42.17M 流动性风险=低 | OI=$74.81M
FARTCOIN | funding=+0.00% 风险=低 | 24h成交额=$6.44M 流动性风险=中 | OI=$15.25M
SOL | funding=+0.00% 风险=低 | 24h成交额=$219.83M 流动性风险=低 | OI=$332.72M
XMR | funding=+0.00% 风险=低 | 24h成交额=$5.53M 流动性风险=中 | OI=$46.41M
NEAR | funding=+0.00% 风险=低 | 24h成交额=$24.19M 流动性风险=低 | OI=$46.75M
ENA | funding=+0.00% 风险=低 | 24h成交额=$10.12M 流动性风险=中 | OI=$20.95M
GRAM | funding=-0.00% 风险=低 | 24h成交额=$6.75M 流动性风险=中 | OI=$12.11M
PUMP | funding=-0.00% 风险=低 | 24h成交额=$19.57M 流动性风险=中 | OI=$43.88M
XPL | funding=-0.00% 风险=低 | 24h成交额=$9.27M 流动性风险=中 | OI=$25.21M
