address,groups,usdc_delta,spot_delta,flow_type,spot_increases,spot_decreases,spot_net_changes,spot_operations,perp_operations,current_perp_positions,current_spot_holdings
0xffffffffffffffffffffffffffffffffffffffff,money_printer,-1058.9902547998354,-8113567415.39502,USDC减少，疑似资金流出/买入,-,-,-,-,-,-,NEKO $1405.47B 数量=23.48M；TRADE $406.78B 数量=99.97M；BRIDGE $20.21B 数量=5.00M
0x7a35bbc1de0b86e11aea964956807e08317f3803,smart_money,0.0,-740954190.5062714,现货变化,-,-,-,-,-,-,NEKO $110.57B 数量=1.85M；MAX $11.19B 数量=1750.64M；RISK $8.69B 数量=113.37K
0xe867fbdad3291530e41530301ecb77693850c78e,money_printer,0.0,-685000074.3703156,现货变化,-,-,-,-,-,-,MAX $63.90B 数量=10000.00M；KNTQ $71.90M 数量=2.00M；HYPE $41.10K 数量=450.00K
0x53e655101ea361537124ef814ad4e654b54d0637,smart_money,0.0,-350091805.3496475,现货变化,-,-,-,-,-,-,MAX $32.66B 数量=5110.83M；HYPE $465.36 数量=5.09K；USDE $0.02 数量=108.283
0x7dacca323e44f168494c779bb5e7483c468ef410,money_printer,-2439.4502859991044,-297176459.55773544,USDC减少，疑似资金流出/买入,-,-,-,-,-,HYPE空 10x $4.30M cross 强平距=+310.23% 高杠杆短线型,MAX $27.72B 数量=4338.32M；WOW $278.28K 数量=4.51K；HYPE $29.93K 数量=327.67K
0x856c35038594767646266bc7fd68dc26480e910d,money_printer,-23855.27807999961,-262356304.64378357,USDC减少，疑似资金流出/买入,-,-,-,-,-,LIT空 3x $3.06M cross 强平距=+165.74% 低杠杆长期型；HYPE空 3x $3.06M cross 强平距=+174.10% 低杠杆长期型；XPL空 5x $943.60K cross 强平距=+548.43% 中杠杆趋势型,MAX $24.47B 数量=3830.02M；LATINA $36.56K 数量=36.56K；LICKO $546.03 数量=4.88K
0x939f95036d2e7b6d7419ec072bf9d967352204d2,money_printer,-4956.30710699968,-213411669.83721542,USDC减少，疑似资金流出/买入,-,-,-,-,-,HYPE空 5x $19.91M cross 强平距=+23.59% 中杠杆趋势型；BTC多 40x $12.50M cross 强平距=+40.88% 极高杠杆短线型；ETH多 25x $1.28M cross 极高杠杆短线型,MAX $19.91B 数量=3115.50M；HYPE $28.38K 数量=310.70K
0xa906355beaf1d69a5fe73ce55899c49c6e67916c,money_printer,0.0,-168832181.38591003,现货变化,-,-,-,-,-,-,MAX $15.75B 数量=2464.69M；WOW $113.82K 数量=1.84K；LATINA $48.04K 数量=48.04K
0x77375a8c9d13bf79afb2a87f1b0ac1dfd5f5bf66,money_printer,99176.64460200071,-161888781.0350666,USDC增加 + 现货减少，疑似卖出/转现金,-,-,-,-,-,LIT多 5x $8.48M cross 中杠杆趋势型；AAVE空 10x $7.83M cross 强平距=+194.73% 高杠杆短线型；WLD空 10x $3.08M cross 强平距=+491.44% 高杠杆短线型,MAX $14.88B 数量=2328.32M；NEKO $396.42M 数量=6.62K；KNTQ $116.09M 数量=3.23M
0x7fdafde5cfb5465924316eced2d3715494c517d1,money_printer,0.0,-117357713.58178711,现货变化,-,-,-,-,-,BTC多 20x $16.13M cross 强平距=+79.47% 极高杠杆短线型；HYPE多 5x $11.03M cross 中杠杆趋势型；ETH空 15x $7.18M cross 强平距=+175.15% 高杠杆短线型,MAX $10.95B 数量=1713.25M；KNTQ $13.58M 数量=377.74K；LATINA $33.53K 数量=33.53K
0xa312114b5795dff9b8db50474dd57701aa78ad1e,money_printer,59227.34798900038,-117003280.79019165,USDC增加 + 现货减少，疑似卖出/转现金,-,-,-,-,-,HYPE空 10x $12.88M cross 强平距=+59.94% 高杠杆短线型；kPEPE空 10x $435.19K cross 强平距=+1764.55% 高杠杆短线型；ASTER空 5x $322.38K cross 强平距=+2273.50% 中杠杆趋势型,MAX $10.91B 数量=1708.07M；WOW $60.12K 数量=973.609；LATINA $33.52K 数量=33.52K
0xa87a233e8a7d8951ff790a2e39738086cb5f71b7,money_printer,65956.60936100036,-115727544.53383827,USDC增加 + 现货减少，疑似卖出/转现金,-,-,-,-,-,HYPE空 5x $7.02M cross 强平距=+147.59% 中杠杆趋势型；SOL空 20x $2.49M cross 强平距=+423.39% 极高杠杆短线型；DOGE空 10x $502.71K cross 强平距=+2099.63% 高杠杆短线型,MAX $10.69B 数量=1672.51M；NEKO $209.78M 数量=3.50K；WOW $727.00K 数量=11.77K
0x469e9a7f624b04c24f0e64edf8d8a277e6bf58a5,money_printer,-718.3441580012441,-115072402.30903244,USDC减少，疑似资金流出/买入,-,-,-,-,合约空单变化HYPE 10x -$1.12M 强平距=+136.82%,HYPE空 10x $5.14M cross 强平距=+136.82% 高杠杆短线型；ZEC多 10x $3.96M cross 高杠杆短线型；BTC空 25x $2.88M cross 强平距=+253.27% 极高杠杆短线型,MAX $10.63B 数量=1663.01M；NEKO $209.78M 数量=3.50K；LATINA $29.70K 数量=29.70K
0xfc667adba8d4837586078f4fdcdc29804337ca06,money_printer,0.0,-96904943.35638428,现货变化,-,-,-,-,-,ETH多 20x $4.99M cross 极高杠杆短线型；BTC多 20x $3.66M cross 极高杠杆短线型；HYPE多 5x $1.89M cross 中杠杆趋势型,MAX $9.04B 数量=1414.67M；HYPE $46.58 数量=509.941；UETH $0.00 数量=0.999755
0x5f94a51948d2376ad34a6fadfa2544e651b74b96,money_printer,35484.71454199869,-91871918.75890255,USDC增加 + 现货减少，疑似卖出/转现金,-,-,-,-,-,WLFI空 5x $1.21M cross 强平距=+335.77% 中杠杆趋势型；LIT多 5x $1.08M cross 中杠杆趋势型；HYPE空 10x $957.73K cross 强平距=+444.63% 高杠杆短线型,MAX $8.57B 数量=1341.20M；USOL $4.59 数量=4.9917；HYPE $0.00 数量=7.3e-07
