【滚动建仓资金流 + 杠杆质量】
说明：短线异动看上一轮；长期建仓看滚动窗口，但已修正嵌套窗口重复加分。
新逻辑：2h/6h、24h/72h、15d/30d 分组取最高；同时检查持续性、钱包广度、单钱包集中度、现货-only、杠杆质量。
run_id=434 | 北京时间=2026-07-08 15:54:58 | UTC=2026-07-08 08:11:17

MAX 偏空 | rolling_score=-0.6 杠杆项=+0.0 | 最强窗口=72h -$3.91B | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取72h：-$3.91B，资金分-0.6；72h-$3.91B 质量=0.40 覆盖=88% 钱包=8 持续=9轮/4天；现货主导100%且无合约低杠杆确认
QUANT 偏多 | rolling_score=+0.1 杠杆项=+0.0 | 最强窗口=72h $70.04M | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取72h：$70.04M，资金分+0.1；72h$70.04M 质量=0.05 覆盖=67% 钱包=1 持续=6轮/3天；参与钱包少：1/2个；Top1占比100%；现货主导100%且无合约低杠杆确认；单钱包异常大额，按观察处理
HYPE 偏空 | rolling_score=-1.7 杠杆项=+0.1 | 最强窗口=72h -$19.21M | 均杠杆=6.646623118877067 高风险占比=45% | 主滚动窗口取72h：-$19.21M，资金分-1.6；72h-$19.21M 质量=1.00 覆盖=99% 钱包=16 持续=69轮/4天；其他成熟窗口同向确认1组，确认分-0.2
SOL 偏空 | rolling_score=-1.1 杠杆项=+0.5 | 最强窗口=72h -$12.69M | 均杠杆=16.77463814919612 高风险占比=85% | 主滚动窗口取72h：-$12.69M，资金分-1.6；杠杆健康：低/中杠杆15% 均16.8x；72h-$12.69M 质量=1.00 覆盖=99% 钱包=6 持续=64轮/4天
BASED 偏多 | rolling_score=+0.6 杠杆项=+0.0 | 最强窗口=72h $10.89M | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取72h：$10.89M，资金分+0.6；72h$10.89M 质量=0.40 覆盖=89% 钱包=2 持续=28轮/4天；现货主导100%且无合约低杠杆确认
UBONK 偏空 | rolling_score=-0.3 杠杆项=+0.0 | 最强窗口=72h -$8.78M | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取72h：-$8.78M，资金分-0.3；72h-$8.78M 质量=0.18 覆盖=99% 钱包=2 持续=40轮/4天；Top1占比75%；现货主导100%且无合约低杠杆确认
ZEC 偏空 | rolling_score=-1.3 杠杆项=+0.3 | 最强窗口=72h -$6.78M | 均杠杆=7.851642044818314 高风险占比=67% | 主滚动窗口取72h：-$6.78M，资金分-1.6；杠杆健康：低/中杠杆33% 均7.9x；72h-$6.78M 质量=1.00 覆盖=99% 钱包=17 持续=60轮/4天
KNTQ 偏多 | rolling_score=-0.2 杠杆项=+0.0 | 最强窗口=72h $6.29M | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取72h：$6.29M，资金分+0.1；72h$6.29M 质量=0.05 覆盖=66% 钱包=1 持续=1轮/1天；持续性不足：1/6轮 1/2天；参与钱包少：1/2个；Top1占比100%；现货主导100%且无合约低杠杆确认；存在反向滚动窗口1组，冲突扣分-0.2
UPUMP 偏多 | rolling_score=+0.3 杠杆项=+0.0 | 最强窗口=72h $4.12M | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取72h：$4.12M，资金分+0.3；72h$4.12M 质量=0.18 覆盖=99% 钱包=2 持续=51轮/4天；Top1占比72%；现货主导100%且无合约低杠杆确认
QONE 偏空 | rolling_score=-0.2 杠杆项=+0.0 | 最强窗口=2h -$3.00M | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取2h：-$3.00M，资金分-0.2；2h-$3.00M 质量=0.40 覆盖=62% 钱包=0 持续=2轮/1天；现货主导100%且无合约低杠杆确认
UXPL 偏空 | rolling_score=-0.3 杠杆项=+0.0 | 最强窗口=6h -$1.57M | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取6h：-$1.57M，资金分-0.3；6h-$1.57M 质量=0.40 覆盖=98% 钱包=2 持续=4轮/1天；现货主导100%且无合约低杠杆确认
