【滚动建仓资金流 + 杠杆质量】
说明：短线异动看上一轮；长期建仓看滚动窗口，但已修正嵌套窗口重复加分。
新逻辑：2h/6h、24h/72h、15d/30d 分组取最高；同时检查持续性、钱包广度、单钱包集中度、现货-only、杠杆质量。
run_id=532 | 北京时间=2026-07-12 20:15:48 | UTC=2026-07-12 12:32:18

MAX 偏空 | rolling_score=-0.1 杠杆项=+0.0 | 最强窗口=72h -$19.64B | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取72h：-$19.64B，资金分-0.1；72h-$19.64B 质量=0.05 覆盖=0% 钱包=345 持续=1轮/1天；窗口未成熟：覆盖0%/50% span=0.0h；持续性不足：1/6轮 1/2天；含断跑gap=1；现货主导100%且无合约低杠杆确认
NEKO 偏空 | rolling_score=-0.1 杠杆项=+0.0 | 最强窗口=72h -$12.28B | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取72h：-$12.28B，资金分-0.1；72h-$12.28B 质量=0.05 覆盖=0% 钱包=48 持续=1轮/1天；窗口未成熟：覆盖0%/50% span=0.0h；持续性不足：1/6轮 1/2天；含断跑gap=1；现货主导100%且无合约低杠杆确认
BUDDY 偏空 | rolling_score=-0.1 杠杆项=+0.0 | 最强窗口=72h -$363.43M | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取72h：-$363.43M，资金分-0.1；72h-$363.43M 质量=0.05 覆盖=0% 钱包=2 持续=1轮/1天；窗口未成熟：覆盖0%/50% span=0.0h；持续性不足：1/6轮 1/2天；含断跑gap=1；现货主导100%且无合约低杠杆确认
UANSEM 偏多 | rolling_score=+0.5 杠杆项=+0.0 | 最强窗口=72h $260.67M | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取72h：$260.67M，资金分+0.5；72h$260.67M 质量=0.30 覆盖=60% 钱包=7 持续=19轮/3天；含断跑gap=1；现货主导100%且无合约低杠杆确认
SWAP 偏空 | rolling_score=-0.1 杠杆项=+0.0 | 最强窗口=72h -$160.86M | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取72h：-$160.86M，资金分-0.1；72h-$160.86M 质量=0.05 覆盖=0% 钱包=6 持续=1轮/1天；窗口未成熟：覆盖0%/50% span=0.0h；持续性不足：1/6轮 1/2天；含断跑gap=1；现货主导100%且无合约低杠杆确认
HYPE 偏空 | rolling_score=-1.5 杠杆项=+0.1 | 最强窗口=15d -$59.48M | 均杠杆=6.723826603438566 高风险占比=45% | 主滚动窗口取15d：-$59.48M，资金分-1.6；15d-$59.48M 质量=0.75 覆盖=86% 钱包=45 持续=267轮/14天；含断跑gap=2
SOL 偏空 | rolling_score=-1.1 杠杆项=+0.5 | 最强窗口=15d -$45.63M | 均杠杆=16.798947655108833 高风险占比=85% | 主滚动窗口取15d：-$45.63M，资金分-1.6；杠杆健康：低/中杠杆15% 均16.8x；15d-$45.63M 质量=0.75 覆盖=86% 钱包=26 持续=252轮/14天；含断跑gap=2
BASED 偏多 | rolling_score=+0.5 杠杆项=+0.0 | 最强窗口=15d $44.16M | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取15d：$44.16M，资金分+0.5；15d$44.16M 质量=0.23 覆盖=86% 钱包=3 持续=166轮/13天；含断跑gap=2；Top3占比100%；现货主导100%且无合约低杠杆确认
UPUMP 偏空 | rolling_score=-0.5 杠杆项=+0.0 | 最强窗口=15d -$17.65M | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取15d：-$17.65M，资金分-0.5；15d-$17.65M 质量=0.23 覆盖=86% 钱包=3 持续=252轮/14天；含断跑gap=2；Top3占比100%；现货主导100%且无合约低杠杆确认
ZEC 偏空 | rolling_score=-0.8 杠杆项=+0.3 | 最强窗口=15d -$15.14M | 均杠杆=7.9850856150088525 高风险占比=69% | 主滚动窗口取15d：-$15.14M，资金分-1.6；杠杆健康：低/中杠杆31% 均8.0x；15d-$15.14M 质量=0.75 覆盖=86% 钱包=31 持续=257轮/14天；含断跑gap=2；存在反向滚动窗口2组，冲突扣分+0.5
KNTQ 偏空 | rolling_score=-0.3 杠杆项=+0.0 | 最强窗口=15d -$15.19M | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取15d：-$15.19M，资金分-0.3；15d-$15.19M 质量=0.14 覆盖=72% 钱包=6 持续=11轮/7天；持续性不足：11/12轮 7/6天；含断跑gap=1；现货主导100%且无合约低杠杆确认
LIT 偏多 | rolling_score=+2.0 杠杆项=+0.4 | 最强窗口=15d $12.04M | 均杠杆=4.865211170260483 高风险占比=0% | 主滚动窗口取15d：$12.04M，资金分+1.6；杠杆健康：低/中杠杆100% 均4.9x；15d$12.04M 质量=0.75 覆盖=86% 钱包=8 持续=251轮/14天；含断跑gap=2
