【资金费率 / 流动性风险】
run_id=571 | 更新时间北京时间=2026-07-14 11:00:47 | UTC=2026-07-14 03:22:59

VIRTUAL | funding=-0.00% 风险=低 | 24h成交额=$3.23M 流动性风险=高 | OI=$7.78M
GRAM | funding=+0.00% 风险=低 | 24h成交额=$1.53M 流动性风险=高 | OI=$22.29M
VVV | funding=+0.00% 风险=低 | 24h成交额=$2.61M 流动性风险=高 | OI=$20.43M
XPL | funding=+0.00% 风险=低 | 24h成交额=$4.41M 流动性风险=高 | OI=$32.29M
ZRO | funding=+0.00% 风险=低 | 24h成交额=$1.93M 流动性风险=高 | OI=$26.14M
ASTER | funding=+0.00% 风险=低 | 24h成交额=$1.66M 流动性风险=高 | OI=$22.84M
ENA | funding=+0.00% 风险=低 | 24h成交额=$4.90M 流动性风险=高 | OI=$20.14M
XMR | funding=+0.00% 风险=低 | 24h成交额=$4.24M 流动性风险=高 | OI=$50.88M
GRASS | funding=+0.00% 风险=低 | 24h成交额=$892.67K 流动性风险=高 | OI=$7.40M
ETHFI | funding=+0.00% 风险=低 | 24h成交额=$1.80M 流动性风险=高 | OI=$7.73M
XLM | funding=-0.00% 风险=低 | 24h成交额=$1.35M 流动性风险=高 | OI=$7.02M
LIT | funding=-0.00% 风险=低 | 24h成交额=$54.77M 流动性风险=低 | OI=$110.03M
HYPE | funding=+0.00% 风险=低 | 24h成交额=$450.21M 流动性风险=低 | OI=$1.35B
BTC | funding=+0.00% 风险=低 | 24h成交额=$1.80B 流动性风险=低 | OI=$2.23B
ETH | funding=+0.00% 风险=低 | 24h成交额=$1.17B 流动性风险=低 | OI=$1.54B
SUI | funding=+0.00% 风险=低 | 24h成交额=$7.27M 流动性风险=中 | OI=$31.83M
WLD | funding=+0.00% 风险=低 | 24h成交额=$17.93M 流动性风险=中 | OI=$40.74M
PUMP | funding=+0.00% 风险=低 | 24h成交额=$14.16M 流动性风险=中 | OI=$41.83M
UNI | funding=+0.00% 风险=低 | 24h成交额=$7.59M 流动性风险=中 | OI=$16.25M
FARTCOIN | funding=+0.00% 风险=低 | 24h成交额=$13.08M 流动性风险=中 | OI=$20.20M
XRP | funding=-0.00% 风险=低 | 24h成交额=$36.69M 流动性风险=低 | OI=$99.18M
ZEC | funding=+0.00% 风险=低 | 24h成交额=$123.97M 流动性风险=低 | OI=$259.78M
SOL | funding=+0.00% 风险=低 | 24h成交额=$222.24M 流动性风险=低 | OI=$352.74M
