run_id,coin,rolling_score,rolling_leverage_score,rolling_flow_core,selected_groups,candidate_windows,spot_only_risk,concentration_risk,persistence_risk,gap_risk,best_window,best_direction,best_flow,best_runs,best_same_days,best_wallet_count,best_top1_share,best_top3_share,best_spot_share,best_quality_mult,best_avg_leverage,best_avg_liq_distance,best_longterm_leverage_ratio,best_highrisk_leverage_ratio,best_leverage_health,reason,weighted_2h,active_2h,perp_2h,spot_2h,runs_2h,gaps_2h,spot_share_2h,bullish_runs_2h,bullish_days_2h,bullish_wallets_2h,bullish_top1_share_2h,bullish_top3_share_2h,bullish_wallet_spot_share_2h,bullish_avg_leverage_2h,bullish_avg_liq_distance_2h,bullish_longterm_leverage_ratio_2h,bullish_highrisk_leverage_ratio_2h,bullish_leverage_health_2h,bearish_runs_2h,bearish_days_2h,bearish_wallets_2h,bearish_top1_share_2h,bearish_top3_share_2h,bearish_wallet_spot_share_2h,bearish_avg_leverage_2h,bearish_avg_liq_distance_2h,bearish_longterm_leverage_ratio_2h,bearish_highrisk_leverage_ratio_2h,bearish_leverage_health_2h,weighted_6h,active_6h,perp_6h,spot_6h,runs_6h,gaps_6h,spot_share_6h,bullish_runs_6h,bullish_days_6h,bullish_wallets_6h,bullish_top1_share_6h,bullish_top3_share_6h,bullish_wallet_spot_share_6h,bullish_avg_leverage_6h,bullish_avg_liq_distance_6h,bullish_longterm_leverage_ratio_6h,bullish_highrisk_leverage_ratio_6h,bullish_leverage_health_6h,bearish_runs_6h,bearish_days_6h,bearish_wallets_6h,bearish_top1_share_6h,bearish_top3_share_6h,bearish_wallet_spot_share_6h,bearish_avg_leverage_6h,bearish_avg_liq_distance_6h,bearish_longterm_leverage_ratio_6h,bearish_highrisk_leverage_ratio_6h,bearish_leverage_health_6h,weighted_24h,active_24h,perp_24h,spot_24h,runs_24h,gaps_24h,spot_share_24h,bullish_runs_24h,bullish_days_24h,bullish_wallets_24h,bullish_top1_share_24h,bullish_top3_share_24h,bullish_wallet_spot_share_24h,bullish_avg_leverage_24h,bullish_avg_liq_distance_24h,bullish_longterm_leverage_ratio_24h,bullish_highrisk_leverage_ratio_24h,bullish_leverage_health_24h,bearish_runs_24h,bearish_days_24h,bearish_wallets_24h,bearish_top1_share_24h,bearish_top3_share_24h,bearish_wallet_spot_share_24h,bearish_avg_leverage_24h,bearish_avg_liq_distance_24h,bearish_longterm_leverage_ratio_24h,bearish_highrisk_leverage_ratio_24h,bearish_leverage_health_24h,weighted_72h,active_72h,perp_72h,spot_72h,runs_72h,gaps_72h,spot_share_72h,bullish_runs_72h,bullish_days_72h,bullish_wallets_72h,bullish_top1_share_72h,bullish_top3_share_72h,bullish_wallet_spot_share_72h,bullish_avg_leverage_72h,bullish_avg_liq_distance_72h,bullish_longterm_leverage_ratio_72h,bullish_highrisk_leverage_ratio_72h,bullish_leverage_health_72h,bearish_runs_72h,bearish_days_72h,bearish_wallets_72h,bearish_top1_share_72h,bearish_top3_share_72h,bearish_wallet_spot_share_72h,bearish_avg_leverage_72h,bearish_avg_liq_distance_72h,bearish_longterm_leverage_ratio_72h,bearish_highrisk_leverage_ratio_72h,bearish_leverage_health_72h,weighted_15d,active_15d,perp_15d,spot_15d,runs_15d,gaps_15d,spot_share_15d,bullish_runs_15d,bullish_days_15d,bullish_wallets_15d,bullish_top1_share_15d,bullish_top3_share_15d,bullish_wallet_spot_share_15d,bullish_avg_leverage_15d,bullish_avg_liq_distance_15d,bullish_longterm_leverage_ratio_15d,bullish_highrisk_leverage_ratio_15d,bullish_leverage_health_15d,bearish_runs_15d,bearish_days_15d,bearish_wallets_15d,bearish_top1_share_15d,bearish_top3_share_15d,bearish_wallet_spot_share_15d,bearish_avg_leverage_15d,bearish_avg_liq_distance_15d,bearish_longterm_leverage_ratio_15d,bearish_highrisk_leverage_ratio_15d,bearish_leverage_health_15d,weighted_30d,active_30d,perp_30d,spot_30d,runs_30d,gaps_30d,spot_share_30d,bullish_runs_30d,bullish_days_30d,bullish_wallets_30d,bullish_top1_share_30d,bullish_top3_share_30d,bullish_wallet_spot_share_30d,bullish_avg_leverage_30d,bullish_avg_liq_distance_30d,bullish_longterm_leverage_ratio_30d,bullish_highrisk_leverage_ratio_30d,bullish_leverage_health_30d,bearish_runs_30d,bearish_days_30d,bearish_wallets_30d,bearish_top1_share_30d,bearish_top3_share_30d,bearish_wallet_spot_share_30d,bearish_avg_leverage_30d,bearish_avg_liq_distance_30d,bearish_longterm_leverage_ratio_30d,bearish_highrisk_leverage_ratio_30d,bearish_leverage_health_30d
640,MAX,-0.13,0.0,-0.13,"short,mid,long",5,1,0,0,1,15d,bearish,-21191130164.974346,32,12,359,0.021532955130735814,0.046114365149226004,1.0,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,主滚动窗口取15d：-$21.19B，资金分-0.6；15d-$21.19B 质量=0.30 覆盖=99% 钱包=359 持续=32轮/12天；含断跑gap=1；现货主导100%且无合约低杠杆确认；存在反向滚动窗口2组，冲突扣分+0.5,11445730.060129255,9918688.770275883,0.0,9918688.770275883,1,0,1.0,1,1,2,0.5021306860003717,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,,,,11412038.45970448,9894623.341401044,0.0,9894623.341401044,3,0,1.0,2,2,2,0.6653806611977005,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,11431212.59597769,9926304.773773063,0.0,9926304.773773063,5,0,1.0,3,2,2,0.7493282480935478,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,988012.0515996176,-1416884.49152632,0.0,-1416884.49152632,8,0,1.0,4,3,2,0.7493282480935478,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4,3,4,0.6983123982917994,0.988205289839703,1.0,0.0,0.0,0.0,0.0,0.0,-21191130164.974346,-17410668257.12524,0.0,-17410668257.12524,41,1,1.0,9,6,7,0.7494137124665874,0.9605468193709298,1.0,0.0,0.0,0.0,0.0,0.0,32,12,359,0.021532955130735814,0.046114365149226004,1.0,0.0,0.0,0.0,0.0,0.0,-21191130164.974346,-17410668257.12524,0.0,-17410668257.12524,41,1,1.0,9,6,7,0.7494137124665874,0.9605468193709298,1.0,0.0,0.0,0.0,0.0,0.0,32,12,359,0.021532955130735814,0.046114365149226004,1.0,0.0,0.0,0.0,0.0,0.0
640,NEKO,-0.39,0.0,-0.39,"short,mid",5,1,0,0,0,72h,bearish,-10512519294.15463,15,3,49,0.03676611247510659,0.08970269461789432,1.0,0.4,0.0,0.0,0.0,0.0,0.0,主滚动窗口取72h：-$10.51B，资金分-0.6；72h-$10.51B 质量=0.40 覆盖=99% 钱包=49 持续=15轮/3天；现货主导100%且无合约低杠杆确认；存在反向滚动窗口1组，冲突扣分+0.2,132878313.84109555,146020125.10010502,0.0,146020125.10010502,1,0,1.0,1,1,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,,,,-996436.2206994444,-1094984.8579114676,0.0,-1094984.8579114676,2,0,1.0,1,1,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-991916442.4360075,-756921239.2974173,0.0,-756921239.2974173,6,0,1.0,2,2,2,0.799963422900613,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4,1,3,0.7803289256824139,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-10512519294.15463,-10055873198.1255,0.0,-10055873198.1255,26,0,1.0,11,4,49,0.033542040889013254,0.09404341536939867,1.0,0.0,0.0,0.0,0.0,0.0,15,3,49,0.03676611247510659,0.08970269461789432,1.0,0.0,0.0,0.0,0.0,0.0,-11275091669.054022,-10600604175.706354,0.0,-10600604175.706354,35,1,1.0,17,5,49,0.029907231818665083,0.08060079792013009,1.0,0.0,0.0,0.0,0.0,0.0,18,5,49,0.02808183292841059,0.08328623362957632,1.0,0.0,0.0,0.0,0.0,0.0,-11275091669.054022,-10600604175.706354,0.0,-10600604175.706354,35,1,1.0,17,5,49,0.029907231818665083,0.08060079792013009,1.0,0.0,0.0,0.0,0.0,0.0,18,5,49,0.02808183292841059,0.08328623362957632,1.0,0.0,0.0,0.0,0.0,0.0
640,BUDDY,-0.1701,0.0,-0.1701,long,2,1,1,1,1,15d,bearish,-363426117.8054314,2,2,2,0.5310378242782526,1.0,1.0,0.08100000000000002,0.0,0.0,0.0,0.0,0.0,主滚动窗口取15d：-$363.43M，资金分-0.2；15d-$363.43M 质量=0.08 覆盖=75% 钱包=2 持续=2轮/2天；持续性不足：2/12轮 2/6天；含断跑gap=1；参与钱包少：2/3个；现货主导100%且无合约低杠杆确认,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.87195883612802,94.19425631152001,0.0,94.19425631152001,1,0,1.0,1,1,,,,,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,,,,-363426117.8054314,-259590084.14285567,0.0,-259590084.14285567,4,1,1.0,2,2,,,,,0.0,0.0,0.0,0.0,0.0,2,2,2,0.5310378242782526,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-363426117.8054314,-259590084.14285567,0.0,-259590084.14285567,4,1,1.0,2,2,,,,,0.0,0.0,0.0,0.0,0.0,2,2,2,0.5310378242782526,1.0,1.0,0.0,0.0,0.0,0.0,0.0
640,SWAP,0.0,0.0,0.0,,2,0,0,0,0,15d,bearish,-160863872.63733214,1,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-160863872.63733214,-161379424.58585572,0.0,-161379424.58585572,1,1,1.0,0,0,,,,,,,,,,1,1,6,0.5030828719802116,0.8281774113409799,1.0,0.0,0.0,0.0,0.0,0.0,-160863872.63733214,-161379424.58585572,0.0,-161379424.58585572,1,1,1.0,0,0,,,,,,,,,,1,1,6,0.5030828719802116,0.8281774113409799,1.0,0.0,0.0,0.0,0.0,0.0
640,BTC,-1.0,0.6,-1.6,mid,2,0,0,0,0,72h,bearish,-51406603.81839636,42,3,17,0.21692207776516043,0.47634981216299516,0.0,1.0,22.04946884642093,78.81045230032548,0.16590073809222833,0.8340992619077716,-1.9499999999999997,主滚动窗口取72h：-$51.41M，资金分-1.6；杠杆健康：低/中杠杆17% 均22.0x；72h-$51.41M 质量=1.00 覆盖=100% 钱包=17 持续=42轮/3天,-1264810.379073601,1770454.395515008,1770454.395515008,0.0,3,0,0.0,2,2,1,1.0,1.0,0.0,24.771086486034143,28.482582691258205,0.13665706872055647,0.8633429312794434,-2.2,1,1,1,1.0,1.0,0.0,21.86128642352383,81.79099994812825,0.1909188976032478,0.8090811023967521,-1.9499999999999995,-7871938.723579014,-23254585.305260003,-23254585.305260003,0.0,7,0,0.0,3,2,1,1.0,1.0,0.0,24.743108352513243,28.638349740786477,0.1374168619229838,0.862583138077016,-2.2,4,1,1,1.0,1.0,0.0,21.89431746665965,82.28457667243048,0.19024206832319157,0.8097579316768084,-1.9499999999999995,-28390976.026722778,-61986407.493894994,-61986407.493894994,0.0,25,0,0.0,10,2,4,0.35988208449922326,0.8567141756181433,0.0,24.39891634673912,30.05058275740537,0.1408607869460759,0.859139213053924,-2.2,15,1,7,0.2322013495741627,0.5973663680444282,0.0,21.959920899276188,82.28579110504295,0.19040245411634368,0.8095975458836563,-1.9499999999999995,-51406603.81839636,12955893.892125063,12955893.892125063,0.0,73,0,0.0,31,4,15,0.23625426792309623,0.4622943174218588,0.0,23.182720523417387,31.029434496797403,0.16997042698824597,0.8300295730117538,-2.2,42,3,17,0.21692207776516043,0.47634981216299516,0.0,22.04946884642093,78.81045230032548,0.16590073809222833,0.8340992619077716,-1.9499999999999997,22583581.81656534,26387457.160865184,26387457.160865184,0.0,460,2,0.0,235,16,37,0.14666644117269748,0.33143161995993436,0.0,22.178635773005897,31.73514369119497,0.16946176497178933,0.8305382350282106,-2.1467334843617687,225,15,39,0.16271749258435955,0.34019511742522074,0.0,21.654644918744776,70.92191255576866,0.1361616022087356,0.8638383977912645,-1.9499999999999997,1770003.1667772266,-18786011.064929806,-18786011.064929806,0.0,593,2,0.0,301,19,52,0.10621892491031584,0.2788751385572764,0.0,21.940263227212707,32.36139427498966,0.15688013201828183,0.8431198679817181,-2.1523895351921714,292,18,51,0.11717998070444348,0.27527401157269904,0.0,21.610149673907372,68.57980674172514,0.14113755957482405,0.858862440425176,-1.9499999999999997
640,ETH,-1.3425,0.5075,-1.85,"mid,long",4,0,0,0,0,72h,bearish,-42717802.37546313,44,4,13,0.1916529495066905,0.47625393103389635,0.0,1.0,14.72868676425265,75.94219606607452,0.2719862154916362,0.7280137845083638,-1.4500000000000002,主滚动窗口取72h：-$42.72M，资金分-1.6；杠杆健康：低/中杠杆27% 均14.7x；72h-$42.72M 质量=1.00 覆盖=100% 钱包=13 持续=44轮/4天；其他成熟窗口同向确认1组，确认分-0.2,-714271.3046467528,-1117638.5707100055,-1117638.5707100055,0.0,3,0,0.0,2,1,,,,,18.25251935664758,37.895335562267185,0.053838619704816515,0.9461613802951836,-1.8000000000000003,1,1,1,1.0,1.0,0.0,14.568474422026364,75.86907399634403,0.27104954194772357,0.7289504580522772,-1.4500000000000004,-2758534.9449243885,-14817174.303950012,-14817174.303950012,0.0,7,0,0.0,3,1,,,,,18.253567658550388,37.89847671909082,0.053801575074927624,0.9461984249250723,-1.8000000000000003,4,2,1,1.0,1.0,0.0,14.53132669740361,74.74069266146076,0.2731057030874764,0.7268942969125238,-1.4500000000000002,-18150188.06153575,-46682987.23224501,-46682987.23224501,0.0,25,0,0.0,8,1,5,0.4419095598304784,0.7741777882053322,0.0,18.417941920125436,38.14961971194886,0.0587145630138427,0.9412854369861574,-1.745964409967765,17,2,6,0.36022384289827253,0.7247822228743126,0.0,14.458625863444192,76.62054771107924,0.28195902873094997,0.7180409712690501,-1.4500000000000002,-42717802.37546313,-46823700.732745,-46823700.732745,0.0,73,0,0.0,29,3,14,0.2534393844454694,0.4790299206223355,0.0,17.923473878582477,38.451929209937624,0.07124302408176734,0.9287569759182327,-1.7295854587614259,44,4,13,0.1916529495066905,0.47625393103389635,0.0,14.72868676425265,75.94219606607452,0.2719862154916362,0.7280137845083638,-1.4500000000000002,-74741677.19490743,-151618092.69070497,-151618092.69070497,0.0,460,2,0.0,200,15,34,0.20684963515962113,0.4285003143408371,0.0,17.41014246659044,43.49675408443753,0.0922807111272097,0.9077192888727903,-1.5532853570753042,260,16,32,0.24615359621085411,0.415546057173681,0.0,15.26976555269078,82.7113730653709,0.26037162835359007,0.73962837164641,-1.4500000000000002,-83698515.37110783,-193174655.656015,-193174655.656015,0.0,593,2,0.0,255,18,40,0.2623552873732633,0.43330545046060015,0.0,17.79442833202356,44.18485706354376,0.08905523579218246,0.9109447642078174,-1.5445043573374129,338,19,36,0.2840293668668047,0.43157953853456527,0.0,15.48862941050576,82.6391898949841,0.2627039365721706,0.7372960634278294,-1.4500000000000002
640,SOL,0.0,0.0,0.0,,1,0,0,0,0,30d,bearish,-40432977.18960433,593,,,,,,,16.573357650580817,268.5361108668945,0.16189298168773986,0.8381070183122602,-1.4500000000000002,,334495.3819186638,4542195.8440849995,4542195.8440849995,0.0,3,0,0.0,1,1,,,,,14.310718794612525,53.15514704052818,0.3324750991044574,0.6675249008955423,-1.4500000000000002,2,2,,,,,15.513613469812217,353.50964115335336,0.23086390557064437,0.7691360944293557,-1.4500000000000002,1015284.0098427687,8075622.997330002,8075622.997330002,0.0,7,0,0.0,4,1,,,,,14.418469682880403,53.62157532450347,0.32954174182117607,0.6704582581788239,-1.4500000000000002,3,2,,,,,15.516933433217396,353.6969869937848,0.23107317038115224,0.768926829618848,-1.4500000000000002,1366382.937376262,10849153.277185004,10849153.277185004,0.0,25,0,0.0,13,1,4,0.34987445512669124,0.8501490266605459,0.0,14.225840515295445,47.48735105231192,0.34088392144729657,0.6591160785527036,-1.498511098833261,12,2,3,0.5857980593343008,1.0,0.0,15.447178067072356,326.5166038645282,0.22307213433432133,0.7769278656656787,-1.4500000000000002,-5421178.344984013,3548965.6282350086,3548965.6282350086,0.0,73,0,0.0,33,3,6,0.47788019856495034,0.7875382479230206,0.0,14.649635663515232,44.49803267246565,0.31377503306161214,0.686224966938388,-1.593016786145399,40,4,6,0.48906740632139806,0.7769601741755179,0.0,15.594214512318713,308.22975232665783,0.2197513142350187,0.7802486857649813,-1.4500000000000004,-17549789.86827253,1850152.8068149956,1850152.8068149956,0.0,460,2,0.0,218,15,24,0.18402746367903774,0.4352805153238525,0.0,15.411069964525996,49.80370276272776,0.25844963735769066,0.7415503626423094,-1.4628745620789543,242,16,19,0.2279947155811789,0.48246065065582183,0.0,16.34980258342268,260.4791248025847,0.176627463602297,0.8233725363977029,-1.4500000000000002,-40432977.18960433,-47900571.524090014,-47900571.524090014,0.0,593,2,0.0,288,18,28,0.15063436590042603,0.37716222844337044,0.0,15.574271732339806,49.86696826628493,0.2497963692745127,0.7502036307254872,-1.4604268942435423,305,19,29,0.1632234750421559,0.36320431067112874,0.0,16.573357650580817,268.5361108668945,0.16189298168773986,0.8381070183122602,-1.4500000000000002
640,UBONK,0.4725,0.0,0.4725,"mid,long",4,1,1,0,1,15d,bullish,38740295.63704461,150,15,3,0.4698558705115725,1.0,1.0,0.225,0.0,0.0,0.0,0.0,0.0,主滚动窗口取15d：$38.74M，资金分+0.5；15d$38.74M 质量=0.23 覆盖=94% 钱包=3 持续=150轮/15天；含断跑gap=2；Top3占比100%；现货主导100%且无合约低杠杆确认,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37949898.59270555,-42166553.99189506,0.0,-42166553.99189506,5,0,1.0,2,1,,,,,0.0,0.0,0.0,0.0,0.0,3,1,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,40045122.98686374,-43939440.60921319,0.0,-43939440.60921319,41,0,1.0,21,3,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,20,3,2,0.9733892468312468,1.0,1.0,0.0,0.0,0.0,0.0,0.0,38740295.63704461,-40149349.83485838,0.0,-40149349.83485838,282,2,1.0,150,15,3,0.4698558705115725,1.0,1.0,0.0,0.0,0.0,0.0,0.0,132,15,3,0.5513023623297929,1.0,1.0,0.0,0.0,0.0,0.0,0.0,39315674.170801766,-40189757.799203716,0.0,-40189757.799203716,314,2,1.0,166,18,3,0.49486279925302146,1.0,1.0,0.0,0.0,0.0,0.0,0.0,148,18,3,0.5373624863381533,1.0000000000000002,1.0,0.0,0.0,0.0,0.0,0.0
640,BASED,-0.4725,0.0,-0.4725,long,2,1,1,0,1,15d,bearish,-28499300.197643984,119,13,4,0.4517626538507252,0.9903187402487782,1.0,0.225,0.0,0.0,0.0,0.0,0.0,主滚动窗口取15d：-$28.50M，资金分-0.5；15d-$28.50M 质量=0.23 覆盖=100% 钱包=4 持续=119轮/13天；含断跑gap=2；Top3占比99%；现货主导100%且无合约低杠杆确认,17.234097902,-12.310069930000001,0.0,-12.310069930000001,1,0,1.0,1,1,,,,,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,,,,17.234097902,-12.310069930000001,0.0,-12.310069930000001,1,0,1.0,1,1,,,,,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,,,,19810.044446079944,-14150.031747200122,0.0,-14150.031747200122,7,0,1.0,5,2,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,19864.020890027175,-14188.586350023326,0.0,-14188.586350023326,15,0,1.0,10,4,3,0.7075640188702751,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5,3,3,0.7048837360444704,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-28499300.197643984,-112222516.59027967,0.0,-112222516.59027967,232,2,1.0,113,15,4,0.5878827167815028,0.9852690846353118,1.0,0.0,0.0,0.0,0.0,0.0,119,13,4,0.4517626538507252,0.9903187402487782,1.0,0.0,0.0,0.0,0.0,0.0,44176963.42423333,-82030275.87343188,0.0,-82030275.87343188,364,2,1.0,181,18,5,0.5268654147035787,0.9553253828649195,1.0,0.0,0.0,0.0,0.0,0.0,183,16,5,0.5237645437465244,0.9231066790002829,1.0,0.0,0.0,0.0,0.0,0.0
640,LIT,1.9847,0.4097,1.575,long,2,0,0,0,1,15d,bullish,25869706.70931081,242,16,8,0.3812179395212314,0.6962188751387692,0.0,0.75,4.852349635548807,38.91929240898118,0.9926637066273303,0.007336293372669718,1.170472412113564,主滚动窗口取15d：$25.87M，资金分+1.6；杠杆健康：低/中杠杆99% 均4.9x；15d$25.87M 质量=0.75 覆盖=100% 钱包=8 持续=242轮/16天；含断跑gap=2,112847.64612351223,1149020.60035,1149020.60035,0.0,3,0,0.0,1,1,,,,,4.858168976081943,32.063032400444264,0.9705501849592316,0.02944981504076853,1.0,2,1,1,1.0,1.0,0.0,3.6647694618722046,557.6180548592368,0.9995897080058537,0.0004102919941463668,1.35,-773373.176783902,1170796.85105,1170796.85105,0.0,7,0,0.0,2,2,,,,,4.8605070305724345,32.64978752560257,0.9744157228781604,0.025584277121839843,1.0,5,1,1,1.0,1.0,0.0,3.688552469057728,519.4672099378256,0.9993933601575288,0.0006066398424713706,1.35,-1919328.6968623328,47945.32209999972,47945.32209999972,0.0,25,0,0.0,7,2,,,,,4.864120669069901,35.195152212417554,0.9783780376467042,0.021621962353295845,1.0000822411686743,18,1,1,1.0,1.0,0.0,3.7095470028241118,497.1804325506788,0.9991427247377533,0.000857275262246714,1.3499999999999999,-3793037.995704997,2324347.4843499996,2324347.4843499996,0.0,73,0,0.0,28,4,2,0.593476987268501,1.0,0.0,4.844629170190782,32.19832511240189,0.9901330914833921,0.009866908516607781,1.0000131570411455,45,3,3,0.5160455111082601,1.0,0.0,3.7648691676444446,491.9198048596582,0.9988128654645712,0.0011871345354289046,1.35,25869706.70931081,1739713.3112499986,1739713.3112499986,0.0,460,2,0.0,242,16,8,0.3812179395212314,0.6962188751387692,0.0,4.852349635548807,38.91929240898118,0.9926637066273303,0.007336293372669718,1.170472412113564,218,15,10,0.4627193846183221,0.7081519607069081,0.0,3.8274583789236307,451.42473992443513,0.9833230919700966,0.016676908029903497,1.3500000000000003,23936617.9130999,-1271551.495400001,-1271551.495400001,0.0,593,2,0.0,309,19,9,0.3558488779237778,0.6498873211964563,0.0,4.863034772825642,41.04111629293261,0.9936585866328359,0.006341413367164111,1.200574316283979,284,18,12,0.36856852725862677,0.5976640447838563,0.0,3.8313474485601104,472.8886025037315,0.9821774439591647,0.017822556040835272,1.35
