【滚动建仓资金流 + 杠杆质量】
说明：短线异动看上一轮；长期建仓看滚动窗口，但已修正嵌套窗口重复加分。
新逻辑：2h/6h、24h/72h、15d/30d 分组取最高；同时检查持续性、钱包广度、单钱包集中度、现货-only、杠杆质量。
run_id=1213 | 北京时间=2026-08-14 14:00:37 | UTC=2026-08-14 06:16:57

NEKO 偏空 | rolling_score=-0.8 杠杆项=+0.0 | 最强窗口=30d -$8.56B | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取30d：-$8.56B，资金分-0.8；30d-$8.56B 质量=0.30 覆盖=94% 钱包=48 持续=40轮/19天；含断跑gap=2；现货主导100%且无合约低杠杆确认
BRIDGE 偏多 | rolling_score=-0.0 杠杆项=+0.0 | 最强窗口=30d $239.98M | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取30d：$239.98M，资金分+0.5；30d$239.98M 质量=0.18 覆盖=89% 钱包=12 持续=4轮/4天；持续性不足：4/20轮 4/10天；现货主导100%且无合约低杠杆确认；存在反向滚动窗口2组，冲突扣分-0.5
ETH 偏空 | rolling_score=-1.5 杠杆项=+0.4 | 最强窗口=30d -$113.32M | 均杠杆=13.075561584995143 高风险占比=62% | 主滚动窗口取30d：-$113.32M，资金分-2.0；杠杆健康：低/中杠杆38% 均13.1x；30d-$113.32M 质量=0.75 覆盖=100% 钱包=48 持续=313轮/27天；含断跑gap=6
UANSEM 偏多 | rolling_score=+0.4 杠杆项=+0.0 | 最强窗口=30d $107.79M | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取30d：$107.79M，资金分+0.4；30d$107.79M 质量=0.14 覆盖=86% 钱包=9 持续=29轮/9天；持续性不足：29/20轮 9/10天；含断跑gap=2；现货主导100%且无合约低杠杆确认
BASED 偏多 | rolling_score=+0.6 杠杆项=+0.0 | 最强窗口=30d $69.33M | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取30d：$69.33M，资金分+0.6；30d$69.33M 质量=0.23 覆盖=97% 钱包=4 持续=22轮/12天；含断跑gap=2；Top3占比95%；现货主导100%且无合约低杠杆确认
UPUMP 偏多 | rolling_score=+0.5 杠杆项=+0.0 | 最强窗口=72h $68.71M | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取72h：$68.71M，资金分+0.5；72h$68.71M 质量=0.30 覆盖=100% 钱包=3 持续=35轮/4天；Top3占比100%；现货主导100%且无合约低杠杆确认
ZEC 偏多 | rolling_score=+2.2 杠杆项=+0.2 | 最强窗口=30d $55.15M | 均杠杆=4.953768996139985 高风险占比=34% | 主滚动窗口取30d：$55.15M，资金分+2.0；杠杆健康：低/中杠杆66% 均5.0x；30d$55.15M 质量=0.75 覆盖=100% 钱包=30 持续=334轮/28天；含断跑gap=6
UBONK 偏多 | rolling_score=+0.5 杠杆项=+0.0 | 最强窗口=30d $51.69M | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取30d：$51.69M，资金分+0.5；30d$51.69M 质量=0.18 覆盖=100% 钱包=2 持续=151轮/27天；含断跑gap=3；参与钱包少：2/3个；现货主导100%且无合约低杠杆确认
KNTQ 偏多 | rolling_score=+0.8 杠杆项=+0.0 | 最强窗口=15d $36.36M | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取15d：$36.36M，资金分+0.8；15d$36.36M 质量=0.40 覆盖=97% 钱包=5 持续=18轮/8天；现货主导100%且无合约低杠杆确认
SOL 偏空 | rolling_score=-1.7 杠杆项=+0.5 | 最强窗口=30d -$32.98M | 均杠杆=16.02496668208512 高风险占比=83% | 主滚动窗口取30d：-$32.98M，资金分-2.0；杠杆健康：低/中杠杆17% 均16.0x；30d-$32.98M 质量=0.75 覆盖=100% 钱包=16 持续=324轮/28天；含断跑gap=6；其他成熟窗口同向确认1组，确认分-0.2
BUDDY 偏空 | rolling_score=-0.8 杠杆项=+0.0 | 最强窗口=30d -$28.43M | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取30d：-$28.43M，资金分-0.8；30d-$28.43M 质量=0.30 覆盖=98% 钱包=5 持续=25轮/13天；含断跑gap=3；现货主导100%且无合约低杠杆确认
HWAVE 偏空 | rolling_score=+0.1 杠杆项=+0.0 | 最强窗口=30d -$17.38M | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取30d：-$17.38M，资金分-0.1；30d-$17.38M 质量=0.05 覆盖=96% 钱包=1 持续=12轮/12天；持续性不足：12/20轮 12/10天；含断跑gap=1；参与钱包少：1/3个；Top1占比100%；存在反向滚动窗口1组，冲突扣分+0.2
PUMP 偏空 | rolling_score=-1.8 杠杆项=+0.1 | 最强窗口=30d -$14.87M | 均杠杆=7.211123262696194 高风险占比=53% | 主滚动窗口取30d：-$14.87M，资金分-2.0；30d-$14.87M 质量=0.75 覆盖=100% 钱包=16 持续=358轮/28天；含断跑gap=6
HYPE 偏空 | rolling_score=-1.5 杠杆项=+0.1 | 最强窗口=72h -$10.35M | 均杠杆=6.797120243347452 高风险占比=44% | 主滚动窗口取72h：-$10.35M，资金分-1.6；72h-$10.35M 质量=1.00 覆盖=100% 钱包=5 持续=30轮/4天
MAX 偏多 | rolling_score=+0.8 杠杆项=+0.0 | 最强窗口=30d $10.88M | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取30d：$10.88M，资金分+0.8；30d$10.88M 质量=0.30 覆盖=98% 钱包=6 持续=46轮/22天；含断跑gap=3；现货主导100%且无合约低杠杆确认
UAVAX 偏空 | rolling_score=-0.2 杠杆项=+0.0 | 最强窗口=24h -$9.40M | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取24h：-$9.40M，资金分-0.2；24h-$9.40M 质量=0.18 覆盖=63% 钱包=0 持续=2轮/1天；持续性不足：2/4轮 1/1天；现货主导100%且无合约低杠杆确认
XRP 偏多 | rolling_score=+1.1 杠杆项=-0.5 | 最强窗口=72h $4.31M | 均杠杆=19.42303901765147 高风险占比=97% | 主滚动窗口取72h：$4.31M，资金分+1.6；杠杆风险：高风险97% 均19.4x；72h$4.31M 质量=1.00 覆盖=100% 钱包=6 持续=37轮/4天
