【滚动建仓资金流 + 杠杆质量】
说明：短线异动看上一轮；长期建仓看滚动窗口，但已修正嵌套窗口重复加分。
新逻辑：2h/6h、24h/72h、15d/30d 分组取最高；同时检查持续性、钱包广度、单钱包集中度、现货-only、杠杆质量。
run_id=1358 | 北京时间=2026-08-20 17:00:35 | UTC=2026-08-20 09:17:05

NEKO 偏空 | rolling_score=-0.5 杠杆项=+0.0 | 最强窗口=30d -$8.30B | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取30d：-$8.30B，资金分-0.8；30d-$8.30B 质量=0.30 覆盖=99% 钱包=50 持续=33轮/19天；含断跑gap=3；现货主导100%且无合约低杠杆确认；存在反向滚动窗口1组，冲突扣分+0.2
BASED 偏多 | rolling_score=+0.0 杠杆项=+0.0 | 最强窗口=30d $122.73M | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取30d：$122.73M，资金分+0.3；30d$122.73M 质量=0.10 覆盖=99% 钱包=4 持续=16轮/10天；持续性不足：16/20轮 10/10天；含断跑gap=1；Top3占比97%；现货主导100%且无合约低杠杆确认；存在反向滚动窗口1组，冲突扣分-0.2
BRIDGE 偏多 | rolling_score=-0.4 杠杆项=+0.0 | 最强窗口=15d $103.28M | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取15d：$103.28M，资金分+0.1；15d$103.28M 质量=0.05 覆盖=94% 钱包=3 持续=3轮/3天；持续性不足：3/12轮 3/6天；Top1占比99%；现货主导100%且无合约低杠杆确认；单钱包异常大额，按观察处理；存在反向滚动窗口2组，冲突扣分-0.5
KNTQ 偏空 | rolling_score=-0.8 杠杆项=+0.0 | 最强窗口=30d -$74.96M | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取30d：-$74.96M，资金分-0.8；30d-$74.96M 质量=0.30 覆盖=97% 钱包=12 持续=61轮/15天；含断跑gap=2；现货主导100%且无合约低杠杆确认
BUDDY 偏空 | rolling_score=-0.5 杠杆项=+0.0 | 最强窗口=30d -$69.98M | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取30d：-$69.98M，资金分-0.8；30d-$69.98M 质量=0.30 覆盖=97% 钱包=5 持续=36轮/16天；含断跑gap=3；现货主导100%且无合约低杠杆确认；存在反向滚动窗口1组，冲突扣分+0.2
BTC 偏多 | rolling_score=+0.3 杠杆项=-0.6 | 最强窗口=72h $41.35M | 均杠杆=24.552740984593324 高风险占比=92% | 主滚动窗口取72h：$41.35M，资金分+1.2；杠杆风险：高风险92% 均24.6x；72h$41.35M 质量=0.75 覆盖=100% 钱包=27 持续=40轮/4天；含断跑gap=2；存在反向滚动窗口1组，冲突扣分-0.2
SOL 偏空 | rolling_score=-1.4 杠杆项=+0.5 | 最强窗口=30d -$38.43M | 均杠杆=16.04878374928539 高风险占比=84% | 主滚动窗口取30d：-$38.43M，资金分-2.0；杠杆健康：低/中杠杆16% 均16.0x；30d-$38.43M 质量=0.75 覆盖=100% 钱包=21 持续=322轮/28天；含断跑gap=7
UBONK 偏多 | rolling_score=+0.1 杠杆项=+0.0 | 最强窗口=15d $39.42M | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取15d：$39.42M，资金分+0.1；15d$39.42M 质量=0.05 覆盖=99% 钱包=1 持续=80轮/16天；含断跑gap=2；参与钱包少：1/3个；Top1占比100%；现货主导100%且无合约低杠杆确认
ETH 偏多 | rolling_score=+0.7 杠杆项=-0.5 | 最强窗口=72h $37.89M | 均杠杆=16.620978526301105 高风险占比=84% | 主滚动窗口取72h：$37.89M，资金分+1.2；杠杆风险：高风险84% 均16.6x；72h$37.89M 质量=0.75 覆盖=100% 钱包=30 持续=41轮/4天；含断跑gap=2
UAVAX 偏空 | rolling_score=-0.1 杠杆项=+0.0 | 最强窗口=30d -$30.03M | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取30d：-$30.03M，资金分-0.1；30d-$30.03M 质量=0.05 覆盖=100% 钱包=1 持续=55轮/24天；含断跑gap=3；参与钱包少：1/3个；Top1占比100%；现货主导100%且无合约低杠杆确认
HYPE 偏空 | rolling_score=-1.7 杠杆项=+0.1 | 最强窗口=15d -$18.96M | 均杠杆=6.703587888598063 高风险占比=44% | 主滚动窗口取15d：-$18.96M，资金分-1.6；15d-$18.96M 质量=0.75 覆盖=100% 钱包=46 持续=154轮/16天；含断跑gap=6；其他成熟窗口同向确认1组，确认分-0.2
