address,groups,coin,market,direction,action_type,side,active_delta,price_effect,qty_delta,entry_px,leverage,margin_mode,liq_distance_pct,leverage_style,position_value,spot_increases,spot_decreases,spot_net_changes,spot_operations,perp_operations,current_perp_positions,current_spot_holdings,execution_evidence,fill_count,ledger_evidence,ledger_count,evidence_status,evidence_class,leverage_weight,cluster_id
0xb83de012dba672c76a7dbbbf3e459cb59d7d6e36,money_printer,BTC,perp,bullish,perp_change,short,8789615.566995,275804.47665,112.28359,78280.5,5.0,cross,89.60374276317437,中杠杆趋势型,72764677.63938,-,-,-,-,合约空单变化SOL 5x -$2.00M 强平距=+197.91%；合约空单变化BTC 5x $8.79M 强平距=+89.60%,ETH空 5x $112.84M cross 强平距=+56.82% 中杠杆趋势型；HYPE空 5x $77.12M cross 强平距=+77.79% 中杠杆趋势型；BTC空 5x $72.76M cross 强平距=+89.60% 中杠杆趋势型,UXPL $1.45M 数量=846.76K；HYPE $67.60K 数量=817.02K；LATINA $35.47K 数量=35.47K,BTC Close Short sz=0.00622 px=78530.0；ETH Open Short sz=4.042 px=2472.5019990104；BTC Close Short sz=0.00736 px=78490.5597826087；BTC Close Short sz=0.22315 px=78510.664440959；BTC Close Short sz=0.0007 px=78534.0；ETH Open Short sz=4.048 px=2471.0；ETH Open Short sz=4.052 px=2470.7；ETH Open Short sz=4.048 px=2470.7；BTC Close Short sz=0.08097 px=78451.0；BTC Close Short sz=0.31874 px=78451.0；BTC Close Short sz=0.31867 px=78452.0；BTC Close Short sz=0.31843 px=78509.4477279151,2000,未发现充值/转账/提现账本更新,0,ok,trade_confirmed,1.08,0xb83de012dba672c76a7dbbbf3e459cb59d7d6e36
0xcf3f419d08a5bdc2c6e5fbd9ad70904c5420f95f,smart_money,BTC,perp,bearish,perp_change,long,-7435206.355994999,-46408.7875,-94.98159,78280.5,5.0,cross,,中杠杆趋势型,6278229.85985,-,-,-,-,合约多单变化BTC 5x -$7.44M,BTC多 5x $6.28M cross 中杠杆趋势型,-,BTC Close Long sz=0.79535 px=78500.0；BTC Close Long sz=0.55996 px=78500.0；BTC Close Long sz=0.58128 px=78465.0；BTC Close Long sz=0.24241 px=78465.0；BTC Close Long sz=0.27091 px=78465.0；BTC Close Long sz=0.29942 px=78465.0；BTC Close Long sz=0.17238 px=78465.0；BTC Open Long sz=2.58262 px=78426.0；BTC Open Long sz=1.12071 px=78421.0；BTC Open Long sz=2.58262 px=78420.0；BTC Open Long sz=2.45535 px=78416.0；BTC Open Long sz=2.45535 px=78411.0,139,未发现充值/转账/提现账本更新,0,ok,trade_confirmed,1.0,cluster:07fe8986
0xe02e420ec55b4e03924d77c7b342c012541ba2d3,money_printer,ETH,perp,bearish,new_short,short,-5923320.0,-4200.0,-2400.0,2468.05,20.0,cross,88.11774672901277,极高杠杆短线型,5927520.0,-,-,-,-,新开空ETH 20x -$5.92M 强平距=+88.12%,ETH空 20x $5.93M cross 强平距=+88.12% 极高杠杆短线型；GRASS多 3x $251.15K cross 低杠杆长期型；AERO多 3x $169.24K cross 低杠杆长期型,WOW $78.81K 数量=939.554；LATINA $46.72K 数量=46.72K；MAX $30.08K 数量=3.61K,ETH Open Short sz=100.0 px=2465.1；ETH Open Short sz=100.0 px=2465.1；ETH Open Short sz=100.0 px=2465.0344999；ETH Open Short sz=100.0 px=2465.0；ETH Open Short sz=100.0 px=2465.0；ETH Open Short sz=100.0 px=2465.0；ETH Open Short sz=100.0 px=2465.0；ETH Open Short sz=100.0 px=2465.0；ETH Open Short sz=100.0 px=2465.0；ETH Open Short sz=100.0 px=2465.0；ETH Open Short sz=100.0 px=2463.5434648；ETH Open Short sz=100.0 px=2463.7,35,未发现充值/转账/提现账本更新,0,ok,trade_confirmed,0.27,0xe02e420ec55b4e03924d77c7b342c012541ba2d3
0x3bcae23e8c380dab4732e9a159c0456f12d866f3,money_printer,ETH,perp,bearish,new_short,short,-5615913.513080001,-6485.019959999248,-2275.4456,2468.05,25.0,cross,126.66038467528615,极高杠杆短线型,5622398.53304,-,-,-,-,新开空ETH 25x -$5.62M 强平距=+126.66%,ETH空 25x $5.62M cross 强平距=+126.66% 极高杠杆短线型；ZEC空 10x $1.01M cross 强平距=+681.52% 高杠杆短线型；LIT空 5x $736.39K cross 强平距=+891.63% 中杠杆趋势型,WOW $270.14K 数量=3.22K；LUCKY $149.41K 数量=410.48K；OMNIX $7.20K 数量=119.71K,BTC Open Long sz=0.4 px=78450.0；BTC Open Long sz=0.4 px=78417.0；WLD Open Long sz=11299.4 px=0.46592；WLD Open Long sz=11299.4 px=0.46418；WLD Open Long sz=11299.4 px=0.46245；BTC Open Long sz=0.4 px=78383.0；BTC Open Long sz=0.4 px=78349.0；BTC Open Long sz=0.4 px=78316.0；BTC Close Long sz=10.0 px=78333.854382；BTC Close Long sz=10.0 px=78325.288599；BTC Close Long sz=10.0 px=78315.329684；BTC Close Long sz=0.2 px=78315.0,49,未发现充值/转账/提现账本更新,0,ok,trade_confirmed,0.27,0x3bcae23e8c380dab4732e9a159c0456f12d866f3
0xaf0fdd39e5d92499b0ed9f68693da99c0ec1e92e,money_printer,KNTQ,spot,bullish,buy_spot,,3019061.271834259,0.0,83979.45123322,35.95,,,,,,KNTQ $3.02M 数量Δ=83.98K @ 35.95,-,KNTQ $3.02M 数量Δ=83.98K @ 35.95,现货买入KNTQ $3.02M 数量Δ=83.98K @ 35.95,-,SOL空 20x $2.93M cross 强平距=+167.91% 极高杠杆短线型；BTC空 30x $2.11M cross 强平距=+235.92% 极高杠杆短线型；HYPE空 5x $1.68M cross 强平距=+285.52% 中杠杆趋势型,KNTQ $16.44M 数量=457.40K；DRV $1.41M 数量=1.41M；WOW $224.25K 数量=2.67K,XPL Open Long sz=28237.0 px=0.0911；XPL Open Long sz=39949.0 px=0.090979；@334 Buy sz=57.97 px=0.21341；@334 Buy sz=57.97 px=0.21341；@334 Buy sz=2686.98 px=0.21341；@334 Buy sz=57.97 px=0.21341；@334 Buy sz=57.97 px=0.21341；SOL Close Short sz=906.75 px=102.52；SOL Close Short sz=2.96 px=102.52；@334 Buy sz=910.64 px=0.21341；@334 Buy sz=57.97 px=0.21341；@334 Buy sz=7748.49 px=0.21341,100,未发现充值/转账/提现账本更新,0,ok,balance_change_unconfirmed,,0xaf0fdd39e5d92499b0ed9f68693da99c0ec1e92e
0x7a35bbc1de0b86e11aea964956807e08317f3803,smart_money,LUCKY,spot,bearish,sell_spot,,-2380200.174278244,0.0,-15000001.0983,0.15868,,,,,,-,-,-,现货卖出LUCKY -$2.38M 数量Δ=-15.00M @ 0.15868,-,-,TILT $31.27M 数量=31.27M；UPHL $4.17M 数量=4.17M；FI $3.40M 数量=53.93K,未发现区间内成交,0,未发现充值/转账/提现账本更新,0,ok,balance_change_unconfirmed,,0x7a35bbc1de0b86e11aea964956807e08317f3803
0xb83de012dba672c76a7dbbbf3e459cb59d7d6e36,money_printer,SOL,perp,bearish,perp_change,short,-2000127.4429500017,105870.08159999983,-19497.27000000002,102.585,5.0,cross,197.91357824623486,中杠杆趋势型,32214158.6659,-,-,-,-,合约空单变化SOL 5x -$2.00M 强平距=+197.91%；合约空单变化BTC 5x $8.79M 强平距=+89.60%,ETH空 5x $112.84M cross 强平距=+56.82% 中杠杆趋势型；HYPE空 5x $77.12M cross 强平距=+77.79% 中杠杆趋势型；BTC空 5x $72.76M cross 强平距=+89.60% 中杠杆趋势型,UXPL $1.45M 数量=846.76K；HYPE $67.60K 数量=817.02K；LATINA $35.47K 数量=35.47K,BTC Close Short sz=0.00622 px=78530.0；ETH Open Short sz=4.042 px=2472.5019990104；BTC Close Short sz=0.00736 px=78490.5597826087；BTC Close Short sz=0.22315 px=78510.664440959；BTC Close Short sz=0.0007 px=78534.0；ETH Open Short sz=4.048 px=2471.0；ETH Open Short sz=4.052 px=2470.7；ETH Open Short sz=4.048 px=2470.7；BTC Close Short sz=0.08097 px=78451.0；BTC Close Short sz=0.31874 px=78451.0；BTC Close Short sz=0.31867 px=78452.0；BTC Close Short sz=0.31843 px=78509.4477279151,2000,未发现充值/转账/提现账本更新,0,ok,trade_confirmed,1.08,0xb83de012dba672c76a7dbbbf3e459cb59d7d6e36
0x5323b92268b4e140ac2133c677e991cd9ad1b23c,smart_money,HYPE,perp,bullish,perp_change,long,1989594.2629500004,-6859.855199999891,23730.140000000003,83.8425,5.0,cross,,中杠杆趋势型,4167611.21964,-,-,-,-,合约多单变化HYPE 5x $1.99M,SOL多 5x $4.56M cross 中杠杆趋势型；HYPE多 5x $4.17M cross 中杠杆趋势型；ZEC多 5x $2.53M cross 中杠杆趋势型,-,SOL Close Long sz=33.41 px=102.93；BNB Open Long sz=7.419 px=750.15；BNB Open Long sz=3.775 px=750.07；BNB Open Long sz=21.143 px=750.41；HYPE Open Long sz=67.87 px=84.07；BNB Open Long sz=8.328 px=749.98；BNB Open Long sz=8.333 px=749.95；HYPE Close Long sz=18.54 px=84.089；HYPE Close Long sz=70.16 px=84.089；HYPE Close Long sz=40.61 px=84.089；HYPE Close Long sz=25.41 px=84.089；HYPE Close Long sz=22.12 px=84.089,763,未发现充值/转账/提现账本更新,0,ok,trade_confirmed,1.0,cluster:07fe8986
0x610b8dd6b392d010c2b6ad8d121dfc09524cb613,smart_money,SOL,perp,bullish,new_long,long,1501243.2518999998,2414.63310000021,14634.14,102.585,3.0,isolated,31.66928954632744,低杠杆长期型,1503657.885,-,-,-,-,新开多SOL 3x $1.50M 强平距=+31.67%,DOGE多 5x $8.81M cross 强平距=+49.62% 中杠杆趋势型；XRP多 3x $3.06M cross 低杠杆长期型；SOL多 3x $1.50M isolated 强平距=+31.67% 低杠杆长期型,-,SOL Open Long sz=1855.37 px=102.5；SOL Open Long sz=816.26 px=102.5；SOL Open Long sz=64.6 px=102.5；SOL Open Long sz=1317.86 px=102.5；SOL Open Long sz=43.8 px=102.5；SOL Open Long sz=8265.52 px=102.5；SOL Open Long sz=2270.73 px=102.5,7,未发现充值/转账/提现账本更新,0,ok,trade_confirmed,1.18,0x610b8dd6b392d010c2b6ad8d121dfc09524cb613
0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,money_printer,HYPE,perp,bullish,perp_change,short,1020525.0410249999,6323.473199999899,12171.929999999998,83.8425,3.0,cross,3719.2194236555442,低杠杆长期型,988570.7273,UMON $1.34K 数量Δ=26.38K @ 0.050884；UPUMP $32.67K 数量Δ=323.03K @ 0.10112,UXPL -$49.78K 数量Δ=-29.03K @ 1.715,UMON $1.34K 数量Δ=26.38K @ 0.050884；UPUMP $32.67K 数量Δ=323.03K @ 0.10112；UXPL -$49.78K 数量Δ=-29.03K @ 1.715,-,合约空单变化HYPE 3x $1.02M 强平距=+3719.22%；合约空单变化PUMP 3x $861.94K 强平距=+936.73%,BTC多 20x $37.12M cross 极高杠杆短线型；ETH空 15x $31.63M cross 强平距=+122.79% 高杠杆短线型；SOL空 20x $14.35M cross 强平距=+268.84% 极高杠杆短线型,UBONK $10.32M 数量=14744.00M；UPUMP $2.24M 数量=22.19M；UXPL $1.86M 数量=1.08M,xyz:PLTR Open Long sz=0.288 px=173.52；xyz:BRENTOIL Close Long sz=13.61 px=97.899；xyz:PLTR Open Long sz=0.288 px=173.52；MORPHO Close Short sz=61.6 px=2.4004；xyz:PLTR Open Long sz=0.288 px=173.52；xyz:PLTR Open Long sz=0.288 px=173.52；xyz:PLTR Open Long sz=0.288 px=173.52；xyz:PLTR Open Long sz=0.288 px=173.52；xyz:ASML Open Long sz=0.6 px=1734.8；@107 Buy sz=10.16 px=84.102；xyz:PLTR Open Long sz=0.288 px=173.52；MORPHO Close Short sz=50.8 px=2.4008,2000,spotTransfer:6,6,ok,trade_confirmed,1.2744,cluster:07fe8986
