id,run_id,coin,funding_rate,funding_rate_pct,day_volume_usd,open_interest_usd,liquidity_risk,funding_risk,funding_note,liquidity_note,created_at
21206,865,AAVE,1.25e-05,0.00125,16424625.22044,75879787.13890001,中,低,funding=+0.0013%,24h成交额=$16.42M,2026-07-30 11:23:21
21193,865,BTC,5.935e-06,0.0005935,2270929686.2198677,2204072353.4544,低,低,funding=+0.0006%,24h成交额=$2.27B,2026-07-30 11:23:21
21208,865,CASHCAT,1.25e-05,0.00125,20432259.785817,6720775.102999999,低,低,funding=+0.0013%,24h成交额=$20.43M,2026-07-30 11:23:21
21188,865,ETH,7.538e-07,7.538e-05,1055833330.0446205,1863766875.754784,低,低,funding=+0.0001%,24h成交额=$1.06B,2026-07-30 11:23:21
21209,865,ETHFI,1.25e-05,0.00125,1017320.522336,7751521.188561999,高,低,funding=+0.0013%,24h成交额=$1.02M,2026-07-30 11:23:21
21195,865,GRAM,-9.7054e-06,-0.00097054,2183325.513700001,12173874.127999999,高,低,funding=-0.0010%,24h成交额=$2.18M,2026-07-30 11:23:21
21189,865,HYPE,1.25e-05,0.00125,264620271.02164024,1185049961.1499596,低,低,funding=+0.0013%,24h成交额=$264.62M,2026-07-30 11:23:21
21204,865,JTO,1.25e-05,0.00125,2200095.7215999975,9633193.73224,高,低,funding=+0.0013%,24h成交额=$2.20M,2026-07-30 11:23:21
21207,865,LINK,4.7281e-06,0.00047280999999999994,2847166.4336599982,38270467.03740001,高,低,funding=+0.0005%,24h成交额=$2.85M,2026-07-30 11:23:21
21192,865,LIT,1.25e-05,0.00125,17903568.158900008,84310763.12640001,中,低,funding=+0.0013%,24h成交额=$17.90M,2026-07-30 11:23:21
21196,865,NEAR,1.25e-05,0.00125,12051512.497320004,46775839.8116,中,低,funding=+0.0013%,24h成交额=$12.05M,2026-07-30 11:23:21
21194,865,PUMP,1.25e-05,0.00125,16783133.201878,44754109.781696,中,低,funding=+0.0013%,24h成交额=$16.78M,2026-07-30 11:23:21
21191,865,SOL,3.4862e-06,0.00034862,182331841.91572005,328193823.7577801,低,低,funding=+0.0003%,24h成交额=$182.33M,2026-07-30 11:23:21
21198,865,SUI,1.25e-05,0.00125,2993203.0660050004,21336508.972298,高,低,funding=+0.0013%,24h成交额=$2.99M,2026-07-30 11:23:21
21210,865,TAO,1.25e-05,0.00125,5096238.967220002,23630491.93754,中,低,funding=+0.0013%,24h成交额=$5.10M,2026-07-30 11:23:21
21201,865,VVV,1.25e-05,0.00125,2776731.306010001,15653576.29408,高,低,funding=+0.0013%,24h成交额=$2.78M,2026-07-30 11:23:21
21203,865,WLD,-8.4821e-06,-0.00084821,10612678.739492007,20606655.462600008,中,低,funding=-0.0008%,24h成交额=$10.61M,2026-07-30 11:23:21
21205,865,XLM,-3.1229e-05,-0.0031229,1059202.0576700005,6741976.407818001,高,低,funding=-0.0031%,24h成交额=$1.06M,2026-07-30 11:23:21
21197,865,XMR,1.25e-05,0.00125,4863226.066580003,46844205.3268,高,低,funding=+0.0013%,24h成交额=$4.86M,2026-07-30 11:23:21
21199,865,XPL,1.25e-05,0.00125,8475593.122164,22420689.111528,中,低,funding=+0.0013%,24h成交额=$8.48M,2026-07-30 11:23:21
21200,865,XRP,1.25e-05,0.00125,36333386.37740002,74070765.6425,低,低,funding=+0.0013%,24h成交额=$36.33M,2026-07-30 11:23:21
21190,865,ZEC,1.25e-05,0.00125,57016257.85299997,188795542.9672,低,低,funding=+0.0013%,24h成交额=$57.02M,2026-07-30 11:23:21
21202,865,ZRO,1.25e-05,0.00125,1785386.1451319994,27981131.98595,高,低,funding=+0.0013%,24h成交额=$1.79M,2026-07-30 11:23:21
