address,groups,usdc_delta,spot_delta,spot_price_effect,flow_type,spot_increases,spot_decreases,spot_net_changes,spot_operations,perp_operations,current_perp_positions,current_spot_holdings
0x053fa362f5459cf61037d8b554b5cfb055a7a4d3,smart_money,1412398.1682099998,0.0,0.0,USDC增加，疑似资金回流,-,-,-,-,-,-,-
0x49e96e255ba418d08e66c35b588e2f2f3766e1d0,money_printer,-1051793.975740999,0.0,-2.6739513731159965,USDC减少，疑似资金流出/买入,-,-,-,-,-,-,UXPL $519.66K 数量=303.01K；PURR $278.01 数量=4.54K；XAUT0 $0.00 数量=0.00200698
0x082e843a431aef031264dc232693dd710aedca88,money_printer,-886909.5063489974,0.0,365.81193151350794,USDC减少，疑似资金流出/买入,-,-,-,-,-,HYPE多 5x $73.61M cross 强平距=+7.57% 爆仓边缘型,MAX $107.36K 数量=16.70K；UPUMP $0.13 数量=1.2225；HYPE $0.08 数量=0.678646
0xdd9f274410c8c704bdbb599dce6c4fb34be4f50a,money_printer,880265.45093016,0.0,0.0,USDC增加，疑似资金回流,-,-,-,-,-,BTC空 40x $16.53M cross 强平距=+66.29% 极高杠杆短线型,UBTC $0.01 数量=255.083；HYPE $0.00 数量=0.00463706
0x84abc08c0ea62e687c370154de1f38ea462f4d37,money_printer,-854992.8561329991,0.0,0.0,USDC减少，疑似资金流出/买入,-,-,-,-,-,-,-
0xaea8e3bd369217cc6e3e6abddf0da318fba8e59b,money_printer,-846925.012902,-2.3796000000000064e-06,0.0,USDC减少，疑似资金流出/买入,-,-,-,-,-,BTC空 20x $3.99M cross 强平距=+23.22% 极高杠杆短线型；ETH空 20x $778.34K cross 强平距=+118.15% 极高杠杆短线型；MELANIA空 3x $72.04K cross 强平距=+1185.19% 低杠杆长期型,LATINA $20.14K 数量=20.14K；LICKO $37.02 数量=220.362；HYPE $0.00 数量=0.00218615
0xb83de012dba672c76a7dbbbf3e459cb59d7d6e36,money_printer,804217.7510790005,0.0,0.0,USDC增加，疑似资金回流,-,-,-,-,-,ETH空 5x $111.33M cross 强平距=+44.20% 中杠杆趋势型；BTC空 5x $78.68M cross 强平距=+63.95% 中杠杆趋势型；HYPE空 5x $53.12M cross 强平距=+87.53% 中杠杆趋势型,UXPL $1.45M 数量=846.76K；HYPE $104.76K 数量=880.52K；LATINA $35.47K 数量=35.47K
0xe9ffe7698f46f96f980f2877e18c43f5b4165903,money_printer,-698024.0731449947,0.0,0.0,USDC减少，疑似资金流出/买入,-,-,-,-,-,-,-
0x60a8c761f39696b3b419f31dcda20b405cb685f6,money_printer,-515188.0316849947,0.0,0.0,USDC减少，疑似资金流出/买入,-,-,-,-,-,BTC多 20x $1.36K cross 极高杠杆短线型；FARTCOIN多 10x $0.01 cross 高杠杆短线型,USDH $5.85K 数量=93.89K；HYPE $1.19K 数量=10.00K；UBTC $0.00 数量=0.0142643
0xdb095d5a4f412fc6b14e6204c1db78bd14becbc1,smart_money,511387.7826729994,0.0,915.6395217894197,USDC增加，疑似资金回流,-,-,-,-,-,-,MAX $268.73K 数量=41.81K
