id,run_id,address,groups,coin,side,szi,abs_szi,mark_px,position_value,entry_px,unrealized_pnl,roe,leverage,liquidation_px,margin_mode,margin_used,liq_distance_pct,account_leverage,leverage_style,leverage_weight,leverage_risk_score,leverage_note
8233827,796,0x000000209e0a892842bc06c354e7d097392cbbbb,smart_money,ARB,short,-100000.0,100000.0,0.08155,8169.0,0.1028,2111.438031,2.0538405315,10.0,2.2320884015,cross,816.9,2637.079584917229,4.233151643629638,高杠杆短线型,0.4536,42.0,杠杆10.0x，偏短线；强平距离2637.1%较安全；cross 共享保证金
8233834,796,0x000000209e0a892842bc06c354e7d097392cbbbb,smart_money,BANANA,short,-100.0,100.0,3.7288,372.95,14.29598,1056.6484,2.2173676188,3.0,1939.0880613686,cross,124.316666,51903.005293086244,4.233151643629638,低杠杆长期型,1.2744,86.0,杠杆3.0x，偏长期；强平距离51903.0%较安全；cross 共享保证金
8233836,796,0x000000209e0a892842bc06c354e7d097392cbbbb,smart_money,BIGTIME,short,-30000.0,30000.0,0.006419,192.75,0.061611,1655.602461,2.6871538236,3.0,6.8486017321,cross,64.25,106592.65823492756,4.233151643629638,低杠杆长期型,1.2744,86.0,杠杆3.0x，偏长期；强平距离106592.7%较安全；cross 共享保证金
8233829,796,0x000000209e0a892842bc06c354e7d097392cbbbb,smart_money,CRV,short,-30300.0,30300.0,0.21059,6389.361,0.42052,6352.615746,4.985581023,10.0,7.3078944275,cross,638.9361,3370.200117526948,4.233151643629638,高杠杆短线型,0.4536,42.0,杠杆10.0x，偏短线；强平距离3370.2%较安全；cross 共享保证金
8233828,796,0x000000209e0a892842bc06c354e7d097392cbbbb,smart_money,DOGE,short,-160000.0,160000.0,0.072721,11636.32,0.160484,14041.221724,5.4682889332,10.0,1.416726001,cross,1163.632,1848.166280716712,4.233151643629638,高杠杆短线型,0.4536,42.0,杠杆10.0x，偏短线；强平距离1848.2%较安全；cross 共享保证金
8233833,796,0x000000209e0a892842bc06c354e7d097392cbbbb,smart_money,DOT,short,-10000.0,10000.0,0.806,8050.0,1.55495,7499.598944,4.8230176039,10.0,22.3089840152,cross,805.0,2667.8640217369725,4.233151643629638,高杠杆短线型,0.4536,42.0,杠杆10.0x，偏短线；强平距离2667.9%较安全；cross 共享保证金
8233843,796,0x000000209e0a892842bc06c354e7d097392cbbbb,smart_money,ENA,short,-93000.0,93000.0,0.092391,8598.873,0.105888,1248.75888,1.2680803824,10.0,2.4047173457,cross,859.8873,2502.7614656189453,4.233151643629638,高杠杆短线型,0.4536,42.0,杠杆10.0x，偏短线；强平距离2502.8%较安全；cross 共享保证金
8233826,796,0x000000209e0a892842bc06c354e7d097392cbbbb,smart_money,ETH,short,-15.0,15.0,1960.55,29439.0,3925.51,29443.749998,2.5002016719,5.0,16720.2360888889,cross,5887.8,752.8339541908599,4.233151643629638,中杠杆趋势型,1.08,72.0,杠杆5.0x，趋势参考；强平距离752.8%较安全；cross 共享保证金
8233842,796,0x000000209e0a892842bc06c354e7d097392cbbbb,smart_money,ETHFI,short,-40000.0,40000.0,0.42506,17060.4,0.51088,3374.834518,0.8257391211,5.0,5.5581425491,cross,3412.08,1207.6136425681082,4.233151643629638,中杠杆趋势型,1.08,72.0,杠杆5.0x，趋势参考；强平距离1207.6%较安全；cross 共享保证金
8233830,796,0x000000209e0a892842bc06c354e7d097392cbbbb,smart_money,LINK,short,-2400.0,2400.0,8.7653,21045.36,8.88875,287.66137,0.134843239,10.0,98.3688333968,cross,2104.536,1022.2528994649357,4.233151643629638,高杠杆短线型,0.4536,42.0,杠杆10.0x，偏短线；强平距离1022.3%较安全；cross 共享保证金
8233845,796,0x000000209e0a892842bc06c354e7d097392cbbbb,smart_money,MORPHO,short,-6000.0,6000.0,1.95595,11726.4,1.69591,-1550.885001,-0.7620670802,5.0,36.1652836606,cross,2345.28,1748.9881469669467,4.233151643629638,中杠杆趋势型,1.08,72.0,杠杆5.0x，趋势参考；强平距离1749.0%较安全；cross 共享保证金
