dashboard_version,model_scope,reference_only,source,source_cn,side,period,events,mature,pending,overdue,win_rate_pct,hurdle_rate_pct,avg_net_pct,median_net_pct,hurdle_pct
3,V2,0,short_signal,短期强信号,all,1h,0,0,0,0,,,,,0.25
3,V2,0,short_signal,短期强信号,all,4h,0,0,0,0,,,,,0.5
3,V2,0,short_signal,短期强信号,all,24h,0,0,0,0,,,,,1.0
3,V2,0,short_signal,短期强信号,long,1h,0,0,0,0,,,,,0.25
3,V2,0,short_signal,短期强信号,long,4h,0,0,0,0,,,,,0.5
3,V2,0,short_signal,短期强信号,long,24h,0,0,0,0,,,,,1.0
3,V2,0,short_signal,短期强信号,short,1h,0,0,0,0,,,,,0.25
3,V2,0,short_signal,短期强信号,short,4h,0,0,0,0,,,,,0.5
3,V2,0,short_signal,短期强信号,short,24h,0,0,0,0,,,,,1.0
3,V2,0,longterm_candidate,正式长期候选,all,72h,0,0,0,0,,,,,2.0
3,V2,0,longterm_candidate,正式长期候选,all,7d,0,0,0,0,,,,,4.0
3,V2,0,longterm_candidate,正式长期候选,all,15d,0,0,0,0,,,,,6.0
3,V2,0,longterm_candidate,正式长期候选,all,30d,0,0,0,0,,,,,8.0
3,V2,0,longterm_candidate,正式长期候选,long,72h,0,0,0,0,,,,,2.0
3,V2,0,longterm_candidate,正式长期候选,long,7d,0,0,0,0,,,,,4.0
3,V2,0,longterm_candidate,正式长期候选,long,15d,0,0,0,0,,,,,6.0
3,V2,0,longterm_candidate,正式长期候选,long,30d,0,0,0,0,,,,,8.0
3,V2,0,longterm_candidate,正式长期候选,short,72h,0,0,0,0,,,,,2.0
3,V2,0,longterm_candidate,正式长期候选,short,7d,0,0,0,0,,,,,4.0
3,V2,0,longterm_candidate,正式长期候选,short,15d,0,0,0,0,,,,,6.0
3,V2,0,longterm_candidate,正式长期候选,short,30d,0,0,0,0,,,,,8.0
3,V1历史参考,1,short_signal,短期强信号,all,1h,13,13,0,0,53.84615384615385,46.15384615384615,0.37246311735093063,0.03056802404151715,0.25
3,V1历史参考,1,short_signal,短期强信号,all,4h,13,13,0,0,38.46153846153847,38.46153846153847,0.5086833063084304,-0.27861371612108876,0.5
3,V1历史参考,1,short_signal,短期强信号,all,24h,13,13,0,0,61.53846153846154,53.84615384615385,2.126973478449135,2.8064230624343223,1.0
3,V1历史参考,1,short_signal,短期强信号,long,1h,2,2,0,0,50.0,50.0,3.685291055691536,3.685291055691536,0.25
3,V1历史参考,1,short_signal,短期强信号,long,4h,2,2,0,0,50.0,50.0,5.393325832153518,5.393325832153518,0.5
3,V1历史参考,1,short_signal,短期强信号,long,24h,2,2,0,0,100.0,100.0,6.774803303884138,6.774803303884138,1.0
3,V1历史参考,1,short_signal,短期强信号,short,1h,11,11,0,0,54.54545454545454,45.45454545454545,-0.22986923507463394,0.03056802404151715,0.25
3,V1历史参考,1,short_signal,短期强信号,short,4h,11,11,0,0,36.36363636363637,36.36363636363637,-0.3794335165724943,-0.27861371612108876,0.5
3,V1历史参考,1,short_signal,短期强信号,short,24h,11,11,0,0,54.54545454545454,45.45454545454545,1.2819135101882253,0.4410968364119433,1.0
3,V1历史参考,1,longterm_candidate,正式长期候选,all,72h,5,5,0,0,40.0,20.0,-2.0756541958940606,-0.12,2.0
3,V1历史参考,1,longterm_candidate,正式长期候选,all,7d,5,5,0,0,20.0,20.0,-2.8092594496546828,-0.9848137591591045,4.0
3,V1历史参考,1,longterm_candidate,正式长期候选,all,15d,5,2,3,1,0.0,0.0,-1.7998004001877426,-1.7998004001877426,6.0
3,V1历史参考,1,longterm_candidate,正式长期候选,all,30d,5,0,5,0,,,,,8.0
3,V1历史参考,1,longterm_candidate,正式长期候选,long,72h,0,0,0,0,,,,,2.0
3,V1历史参考,1,longterm_candidate,正式长期候选,long,7d,0,0,0,0,,,,,4.0
3,V1历史参考,1,longterm_candidate,正式长期候选,long,15d,0,0,0,0,,,,,6.0
3,V1历史参考,1,longterm_candidate,正式长期候选,long,30d,0,0,0,0,,,,,8.0
3,V1历史参考,1,longterm_candidate,正式长期候选,short,72h,5,5,0,0,40.0,20.0,-2.0756541958940606,-0.12,2.0
3,V1历史参考,1,longterm_candidate,正式长期候选,short,7d,5,5,0,0,20.0,20.0,-2.8092594496546828,-0.9848137591591045,4.0
3,V1历史参考,1,longterm_candidate,正式长期候选,short,15d,5,2,3,1,0.0,0.0,-1.7998004001877426,-1.7998004001877426,6.0
3,V1历史参考,1,longterm_candidate,正式长期候选,short,30d,5,0,5,0,,,,,8.0
