【钱包质量分类】
更新时间北京时间：2026-09-09 21:17:10 | UTC：2026-09-09 13:17:10
统计窗口：最近 30 天
胜率定义：24h>=+1%算赢；72h>=+2%算赢；7d>=+4%算赢。做空会按方向收益计算。

等级数量：S:0 | A:6 | B:10 | C:66 | R:42 | N:2295

【S/A 钱包 Top】
0x9e2c...5508 [money_printer] A | 分=100.0 | 权重=1.62 | 样本=34 | 72h胜率=46.2% | 72h均值=+7.97% | 主币=BTC,HYPE,ETH,PONS
0xaeaa...2416 [money_printer] A | 分=100.0 | 权重=1.62 | 样本=17 | 72h胜率=51.6% | 72h均值=+1.09% | 主币=ZEC,HYPE,ETH,SOL
0xe0ff...7610 [money_printer] A | 分=100.0 | 权重=1.62 | 样本=37 | 72h胜率=34.2% | 72h均值=-0.45% | 主币=LIT
0x2a72...267c [smart_money] A | 分=99.4 | 权重=1.82 | 样本=57 | 72h胜率=31.8% | 72h均值=-0.98% | 主币=PUMP,PONS
0x75ec...24b8 [money_printer] A | 分=87.1 | 权重=1.62 | 样本=39 | 72h胜率=44.5% | 72h均值=+0.33% | 主币=ZEC,HYPE,KNTQ
0xae24...e7f8 [smart_money] A | 分=45.6 | 权重=1.82 | 样本=16 | 72h胜率=16.6% | 72h均值=+1.02% | 主币=NEKO

【R级反向钱包 Top】
0x089f...a4f8 [money_printer] R | 反向分=100.0 | 权重=-1.20 | 样本=17 | 72h胜率=28.2% | 72h均值=-3.87% | 主币=ZEC
0xb83d...6e36 [money_printer] R | 反向分=97.0 | 权重=-1.20 | 样本=25 | 72h胜率=12.3% | 72h均值=-3.52% | 主币=ETH,HYPE,BTC,SOL,XRP
0x3947...f3b1 [money_printer] R | 反向分=88.3 | 权重=-1.20 | 样本=18 | 72h胜率=16.9% | 72h均值=-2.78% | 主币=ETH,BTC
0xad22...4e44 [money_printer] R | 反向分=81.6 | 权重=-1.20 | 样本=12 | 72h胜率=15.9% | 72h均值=-12.37% | 主币=BTC,ZEC,SWAP,HYPE,SOL
0x3ff5...f705 [money_printer] R | 反向分=79.5 | 权重=-1.20 | 样本=18 | 72h胜率=0.0% | 72h均值=-0.93% | 主币=BTC
0x9599...c60a [money_printer] R | 反向分=76.7 | 权重=-1.20 | 样本=16 | 72h胜率=16.8% | 72h均值=-1.93% | 主币=BTC,ETH,SOL
0x8af7...fa05 [money_printer] R | 反向分=76.3 | 权重=-1.20 | 样本=11 | 72h胜率=16.5% | 72h均值=-6.55% | 主币=ZEC
0xfc27...9d9d [money_printer] R | 反向分=74.6 | 权重=-1.20 | 样本=72 | 72h胜率=26.1% | 72h均值=+0.39% | 主币=XRP,BTC,ETH,ZEC,SOL
0xf910...0a2d [smart_money] R | 反向分=74.5 | 权重=-1.40 | 样本=36 | 72h胜率=27.6% | 72h均值=-2.12% | 主币=ZEC,HYPE,DOGE,ETH
0x4196...480d [money_printer] R | 反向分=73.7 | 权重=-1.20 | 样本=15 | 72h胜率=16.3% | 72h均值=-1.01% | 主币=MAX
0x8607...08d5 [money_printer] R | 反向分=72.7 | 权重=-1.20 | 样本=16 | 72h胜率=7.0% | 72h均值=+0.20% | 主币=KNTQ,BRIDGE
0x0c4a...1b19 [smart_money] R | 反向分=71.4 | 权重=-1.40 | 样本=41 | 72h胜率=16.7% | 72h均值=-0.50% | 主币=BTC,ETH,HYPE
0x152e...c9dc [money_printer] R | 反向分=70.9 | 权重=-1.20 | 样本=28 | 72h胜率=12.4% | 72h均值=-2.34% | 主币=HYPE,ETH,BTC,ZEC,SOL
0xaf0f...e92e [money_printer] R | 反向分=69.7 | 权重=-1.20 | 样本=58 | 72h胜率=1.5% | 72h均值=+0.03% | 主币=KNTQ,DRV,NEKO
0x45d2...4029 [money_printer] R | 反向分=69.0 | 权重=-1.20 | 样本=17 | 72h胜率=30.0% | 72h均值=-1.76% | 主币=PUMP,XRP,ZEC,ETH,LINK
